Success,Strength,Portal_Name,Sector,Subsector,Industry,State,Security_Type,Women_Led_PIPR,Target_Raise,Total_Invested_Raised,Min_Investment,Max_Investment,Pre_Issue_Market_Cap
0,1,AngelList,Consumer Goods,Vehicles & Parts,Trucks & Other Vehicles,CA,Equity,FALSE,"100,000",0,0,0,"1,000,000"
0,1,AngelList,Technology,Social Technology,Social Media,CA,Equity,FALSE,"850,000",0,0,0,"3,500,000"
1,1,AngelList,Services,Consumer Services,General Consumer Services,NY,Equity,FALSE,"1,500,000","1,779,500",0,0,"5,000,000"
0,1,AngelList,Consumer Goods,Home Electronics,Electronic Equipment,OH,Equity,FALSE,"750,000",0,0,0,"3,200,000"
0,1,AngelList,Services,Food & Dining,Restaurants,CA,Equity,FALSE,"500,000",0,0,0,0
0,1,AngelList,Technology,Computer Software,Internet of Things (Real-World Indexing),CA,Convertible Debt,FALSE,"1,000,000","911,000",0,0,"10,000,000"
0,1,AngelList,Services,Retail,Automotive,NC,Equity,FALSE,"1,000,000","100,000",0,0,"10,000,000"
0,1,AngelList,Healthcare,"Med. Equipment, Supplies & Svcs.",Medical Laboratories,MA,Equity,FALSE,"500,000",0,0,0,"3,800,000"
0,1,AngelList,Services,Consumer Services,General Consumer Services,CA,Convertible Debt,TRUE,"1,000,000","25,000",0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,NY,Equity,TRUE,"1,000,000",0,0,0,0
0,1,AngelList,Services,Advertising Services,Advertising,CA,Convertible Debt,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Services,Non-Profit/Social,Charitable Causes,IL,Equity,FALSE,"500,000",0,0,0,0
0,1,AngelList,Commerce & Industry,Business Services,Employment & Outsourcing,NY,Equity,FALSE,"500,000",0,0,0,"3,000,000"
0,1,AngelList,Services,Real Estate Services,Real Estate Search,CA,Convertible Debt,FALSE,"750,000","160,000",0,0,"9,000,000"
0,1,AngelList,Technology,Computer Software,Internet Software & Services,AZ,Debt,FALSE,"500,000",0,0,0,0
0,1,AngelList,Technology,Computer Software,SaaS,FL,Equity,FALSE,"350,000",0,0,0,"1,400,000"
0,1,AngelList,Services,Retail,Automotive,FL,Convertible Debt,FALSE,"500,000","393,570",0,0,0
0,1,AngelList,Financial,Payment Services,Payment Processing,MI,Convertible Debt,FALSE,"300,000",0,0,0,"3,000,000"
0,1,AngelList,Services,Traditional Media,Film Production,CA,Equity,FALSE,"20,000,000",0,0,0,0
0,1,AngelList,Services,Social Economy,Social Commerce,MA,Equity,FALSE,"1,500,000","1,269,500",0,0,"4,800,000"
0,1,AngelList,Healthcare,Research & Development,Biotechnology,UT,Equity,FALSE,"1,000,000","853,000",0,0,"4,000,000"
0,1,AngelList,Commerce & Industry,Business Services,Employment & Outsourcing,DC,Convertible Debt,FALSE,"50,000",0,0,0,0
0,1,AngelList,Technology,Computer Hardware,Computer Peripherals,AZ,Equity,TRUE,"1,000,000",0,0,0,0
0,1,AngelList,Services,Artistic Services,Artistic Services - Other,NY,Convertible Debt,FALSE,"300,000","125,000",0,0,"5,000,000"
0,1,AngelList,Financial,Investment Services,Asset Management,CA,Convertible Debt,TRUE,"500,000",0,0,0,0
0,1,AngelList,Services,Health & Fitness,General Health & Wellness,VA,Convertible Debt,FALSE,"200,000","112,750",0,0,"10,000,000"
0,1,AngelList,Technology,Computer Software,Business Software & Services,CO,Equity,FALSE,"250,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Online Dating Services,CA,Convertible Debt,FALSE,"260,000","170,000",0,0,"2,500,000"
0,1,AngelList,Technology,Communications,"Communications, Other",CA,Convertible Debt,FALSE,"200,000","65,000",0,0,"3,000,000"
0,1,AngelList,Services,General Entertainment,"Entertainment, Other",CA,Equity,TRUE,"350,000",0,0,0,2
0,1,AngelList,Consumer Goods,Personal Goods,Pharmaceuticals & Related Products,CA,Equity,FALSE,"250,000",0,0,0,"4,000,000"
0,1,AngelList,Services,Artistic Services,Music Services,CA,Convertible Debt,FALSE,"500,000",0,0,0,"5,000,000"
0,1,AngelList,Services,New Media,News & Content Aggregation,NY,Equity,FALSE,"500,000",0,0,0,"4,500,000"
0,1,AngelList,Services,Personal Services,Pet Services,NY,Equity,FALSE,"1,500,000",0,0,0,0
0,1,AngelList,Commerce & Industry,Business Services,Employment & Outsourcing,CA,Debt,TRUE,"750,000",0,0,0,"6,000,000"
0,1,AngelList,Services,Real Estate Services,Real Estate Search,CA,Equity,TRUE,"700,000",0,0,0,"3,500,000"
0,1,AngelList,Services,Professional Services,Research Services,CA,Equity,FALSE,"121,121",0,0,0,"300,000"
1,1,AngelList,Healthcare,"Med. Equipment, Supplies & Svcs.",Medical Appliances & Equipment,CA,Debt,FALSE,"1,200,000","1,252,000",0,0,0
0,1,AngelList,Services,Non-Profit/Social,Non-Profits,CA,Convertible Debt,TRUE,"500,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,CA,Convertible Debt,FALSE,"500,000",0,0,0,"5,000,000"
0,1,AngelList,Technology,Computer Software,App Software,NY,Equity,FALSE,"1,000,000","500,000",0,0,"4,000,000"
0,1,AngelList,Technology,IT Services,Healthcare Information Services,CT,Equity,FALSE,"2,500,000",0,0,0,0
0,1,AngelList,Services,E-Commerce,"E-Commerce, Pharmaceuticals",CA,Equity,FALSE,"150,000",0,0,0,"1,000,000"
